protocol,model,endpoint,budget,N,k,actual_budget_fraction,defined_seeds,mean_L,display_percent_L,cell_text
loco_astm_e119,gnn,J,25%,95,23,0.24210526315789474,5,0.8215341716893267,82.15341716893268,82.2
loco_astm_e119,gnn,J,50%,95,47,0.49473684210526314,5,0.9164543136585651,91.64543136585651,91.6
loco_perturbed_iso,gnn,terminal,10%,111,11,0.0990990990990991,5,0.774063326700441,77.4063326700441,77.4
loco_perturbed_iso,gnn,terminal,25%,111,27,0.24324324324324326,5,0.7415614149047329,74.15614149047329,74.2
loco_perturbed_iso,gnn,terminal,50%,111,55,0.4954954954954955,5,0.8189604833305936,81.89604833305935,81.9
loco_perturbed_iso,gnn,J,10%,111,11,0.0990990990990991,5,0.8205331509721334,82.05331509721334,82.1
loco_perturbed_iso,gnn,J,25%,111,27,0.24324324324324326,5,0.8159260707269699,81.59260707269699,81.6
loco_perturbed_iso,gnn,J,50%,111,55,0.4954954954954955,5,0.873884242328373,87.38842423283731,87.4
loco_plateau,gnn,terminal,10%,103,10,0.0970873786407767,5,0.9937749570939648,99.37749570939648,99.4
loco_plateau,gnn,terminal,25%,103,25,0.24271844660194175,5,0.9956046738878165,99.56046738878165,99.6
loco_plateau,gnn,terminal,50%,103,51,0.49514563106796117,5,1.0,100.0,100
loco_plateau,gnn,J,10%,103,10,0.0970873786407767,5,0.9816647249763164,98.16647249763164,98.2
loco_plateau,gnn,J,25%,103,25,0.24271844660194175,5,0.9883428807405725,98.83428807405726,98.8
loco_plateau,gnn,J,50%,103,51,0.49514563106796117,5,0.9978446247682049,99.7844624768205,99.8
loco_decay,gnn,terminal,10%,113,11,0.09734513274336283,5,0.9740413760058164,97.40413760058163,97.4
loco_decay,gnn,terminal,25%,113,28,0.24778761061946902,5,0.9865035745337677,98.65035745337677,98.7
loco_decay,gnn,terminal,50%,113,56,0.49557522123893805,5,0.9958517798141016,99.58517798141015,99.6
loco_decay,gnn,J,10%,113,11,0.09734513274336283,5,0.9593366545340105,95.93366545340105,95.9
loco_decay,gnn,J,25%,113,28,0.24778761061946902,5,0.9660257214646734,96.60257214646734,96.6
loco_decay,gnn,J,50%,113,56,0.49557522123893805,5,0.9964834715133272,99.64834715133271,99.6
loco_log_variant,gnn,terminal,10%,69,6,0.08695652173913043,5,0.9719301669236573,97.19301669236573,97.2
loco_log_variant,gnn,terminal,25%,69,17,0.2463768115942029,5,1.0,100.0,100
loco_log_variant,gnn,terminal,50%,69,34,0.4927536231884058,5,0.9982431790317644,99.82431790317644,99.8
loco_log_variant,gnn,J,10%,69,6,0.08695652173913043,5,0.9971150979192129,99.71150979192129,99.7
loco_log_variant,gnn,J,25%,69,17,0.2463768115942029,5,1.0,100.0,100
loco_log_variant,gnn,J,50%,69,34,0.4927536231884058,5,0.9997579202459731,99.97579202459731,100
loco_external_fire,gnn,terminal,10%,49,4,0.08163265306122448,5,0.7923571543284924,79.23571543284925,79.2
loco_external_fire,gnn,terminal,25%,49,12,0.24489795918367346,5,0.8402747187591432,84.02747187591432,84
loco_external_fire,gnn,terminal,50%,49,24,0.4897959183673469,5,0.8946478102542358,89.46478102542358,89.5
loco_external_fire,gnn,J,10%,49,4,0.08163265306122448,5,0.8760752695574435,87.60752695574435,87.6
loco_external_fire,gnn,J,25%,49,12,0.24489795918367346,5,0.8386057736819424,83.86057736819424,83.9
loco_external_fire,gnn,J,50%,49,24,0.4897959183673469,5,0.8883475095262762,88.83475095262762,88.8
loco_bilinear,gnn,terminal,10%,77,7,0.09090909090909091,5,0.9645888659809778,96.45888659809778,96.5
loco_bilinear,gnn,terminal,25%,77,19,0.24675324675324675,5,0.9597215098530223,95.97215098530224,96
loco_bilinear,gnn,terminal,50%,77,38,0.4935064935064935,5,0.89514782188849,89.514782188849,89.5
loco_bilinear,gnn,J,10%,77,7,0.09090909090909091,5,0.9908040801592508,99.08040801592509,99.1
loco_bilinear,gnn,J,25%,77,19,0.24675324675324675,5,0.9793905420078299,97.93905420078299,97.9
loco_bilinear,gnn,J,50%,77,38,0.4935064935064935,5,0.9347509462767141,93.47509462767141,93.5
loco_linear,gnn,terminal,10%,125,12,0.096,5,1.0,100.0,100
loco_linear,gnn,terminal,25%,125,31,0.248,5,0.9923160581408172,99.23160581408172,99.2
loco_linear,gnn,terminal,50%,125,62,0.496,5,0.9949467324352297,99.49467324352297,99.5
loco_linear,gnn,J,10%,125,12,0.096,5,1.0000000000000007,100.00000000000007,100
loco_linear,gnn,J,25%,125,31,0.248,5,0.9935822132600952,99.35822132600953,99.4
loco_linear,gnn,J,50%,125,62,0.496,5,0.9970798400920133,99.70798400920134,99.7
loco_smoldering,gnn,terminal,10%,97,9,0.09278350515463918,5,0.7929910495070904,79.29910495070904,79.3
loco_smoldering,gnn,terminal,25%,97,24,0.24742268041237114,5,1.0,100.0,100
loco_smoldering,gnn,terminal,50%,97,48,0.4948453608247423,5,1.0,100.0,100
loco_smoldering,gnn,J,10%,97,9,0.09278350515463918,5,0.9446361631094758,94.46361631094759,94.5
loco_smoldering,gnn,J,25%,97,24,0.24742268041237114,5,1.0,100.0,100
loco_smoldering,gnn,J,50%,97,48,0.4948453608247423,5,1.0,100.0,100
