protocol,contrast,baseline,candidate,endpoint,budget,N,k,independent_seed_count,U_baseline_minus_candidate_defined_seeds,U_baseline_minus_candidate_mean,U_baseline_minus_candidate_sample_sd,U_baseline_minus_candidate_min,U_baseline_minus_candidate_max
loco_log_variant,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,69,6,5,5,-0.00032877380300001536,0.0005834145888193669,-0.001346719572191235,0.0
loco_log_variant,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,69,17,5,5,0.0,0.0,0.0,0.0
loco_log_variant,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,69,34,5,5,-2.3964530989228904e-05,5.358632034081611e-05,-0.00011982265494614452,0.0
loco_log_variant,mean_vs_sum,gnn,gnn_mean,terminal,10%,69,6,5,5,0.001411912376837184,0.003393797993493675,-0.0027725074129800005,0.005009178072214127
loco_log_variant,mean_vs_sum,gnn,gnn_mean,terminal,25%,69,17,5,5,0.0,0.0,0.0,0.0
loco_log_variant,mean_vs_sum,gnn,gnn_mean,terminal,50%,69,34,5,5,0.00019845322651021458,0.0002725901276711049,0.0,0.000526496592689954
loco_log_variant,mean_vs_sum,gnn,gnn_mean,J,10%,69,6,5,5,5.942988856176834e-05,0.0009615021379767143,-0.001346719572191235,0.001346719572191235
loco_log_variant,mean_vs_sum,gnn,gnn_mean,J,25%,69,17,5,5,0.0,0.0,0.0,0.0
loco_log_variant,mean_vs_sum,gnn,gnn_mean,J,50%,69,34,5,5,2.3964530989228904e-05,5.358632034081611e-05,0.0,0.00011982265494614452
loco_external_fire,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,49,4,5,5,0.0018925167620182036,0.0034007095841676826,-0.0027420148253440857,0.005068935453891754
loco_external_fire,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,49,12,5,5,0.0005663566291332356,0.0009275394736562657,-0.0007538137336571826,0.0014415097733338766
loco_external_fire,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,49,24,5,5,0.0007839366793632397,0.0010191648942674497,-0.0003984340776999884,0.0021108463406562805
loco_external_fire,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,49,4,5,5,0.003555547377715529,0.0017881090134500308,0.0012874202181896166,0.006264958592752667
loco_external_fire,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,49,12,5,5,0.0007525470770067489,0.0012406515389187518,-0.0006907868302530318,0.0023549143535395167
loco_external_fire,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,49,24,5,5,-0.0004762426846557033,0.0004943405895265631,-0.0013288038627555232,-4.281031174785399e-05
loco_external_fire,mean_vs_sum,gnn,gnn_mean,terminal,10%,49,4,5,5,0.0015725620090961457,0.0015137291678991769,0.0004353076219558716,0.003318134695291519
loco_external_fire,mean_vs_sum,gnn,gnn_mean,terminal,25%,49,12,5,5,-0.0014063785473505785,0.0006802391166449347,-0.0024884951611360007,-0.0006768244008223401
loco_external_fire,mean_vs_sum,gnn,gnn_mean,terminal,50%,49,24,5,5,-0.00040909113983312874,0.0007700115010907431,-0.0011062702784935818,0.0007660215099652701
loco_external_fire,mean_vs_sum,gnn,gnn_mean,J,10%,49,4,5,5,0.001184186066190418,0.0011959138186090894,0.0,0.0030980213234822473
loco_external_fire,mean_vs_sum,gnn,gnn_mean,J,25%,49,12,5,5,-0.0005602588752905535,0.0012402794381709693,-0.0016037348864806344,0.0013472351866464227
loco_external_fire,mean_vs_sum,gnn,gnn_mean,J,50%,49,24,5,5,4.5288445221070003e-05,0.0007205610095608889,-0.0006445814700176689,0.0012136484961957628
loco_bilinear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,77,7,5,5,-0.0037053823471069336,0.006191008334696013,-0.01264954251902442,0.003742777875491543
loco_bilinear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,77,19,5,5,-0.003725661729511459,0.0013987192193373212,-0.005190676764438018,-0.0023175258385507713
loco_bilinear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,77,38,5,5,-0.0032201360715062967,0.007231303428244545,-0.011869720722499644,0.003787815570831299
loco_bilinear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,77,7,5,5,0.0,0.0023599835053602206,-0.003337520680257222,0.003337520680257222
loco_bilinear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,77,19,5,5,0.0015511770768646294,0.0018500874557893568,0.0,0.0036245481813685365
loco_bilinear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,77,38,5,5,0.0007260987685437481,0.0019762891383211974,-0.0009116326573125333,0.003353029417625608
loco_bilinear,mean_vs_sum,gnn,gnn_mean,terminal,10%,77,7,5,5,0.0044098202671323415,0.0035108849734913966,0.0,0.009804404207638312
loco_bilinear,mean_vs_sum,gnn,gnn_mean,terminal,25%,77,19,5,5,0.002388167851849604,0.0014951575676467339,0.0,0.004091106747326101
loco_bilinear,mean_vs_sum,gnn,gnn_mean,terminal,50%,77,38,5,5,0.0005110232453597208,0.00541371641031054,-0.006680663479001925,0.008402051110016684
loco_bilinear,mean_vs_sum,gnn,gnn_mean,J,10%,77,7,5,5,-0.0013350082721028888,0.0018280353627168674,-0.003337520680257222,0.0
loco_bilinear,mean_vs_sum,gnn,gnn_mean,J,25%,77,19,5,5,-0.0018927661094226057,0.002239658048299966,-0.004956789197106126,5.0528288671913835e-05
loco_bilinear,mean_vs_sum,gnn,gnn_mean,J,50%,77,38,5,5,-0.00045374512018865333,0.0027193560408057056,-0.003237321972846985,0.003453854046631233
loco_linear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,125,12,5,5,0.0,0.0,0.0,0.0
loco_linear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,125,31,5,5,-0.0003373413316665241,0.0013527955322039738,-0.0021435815480447817,0.001398108659252023
loco_linear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,125,62,5,5,0.00021217330809562563,0.0003185168620821283,-0.00016949445970596,0.0007032141570121886
loco_linear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,125,12,5,5,0.0,0.0,0.0,0.0
loco_linear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,125,31,5,5,0.00014833959840958587,0.00021233996923414645,-0.00011091106120619809,0.00037569247426527674
loco_linear,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,125,62,5,5,9.681135335921631e-05,0.00020156106105218656,-0.00013696250095140972,0.0003693287491156605
loco_linear,mean_vs_sum,gnn,gnn_mean,terminal,10%,125,12,5,5,0.0,0.0,0.0,0.0
loco_linear,mean_vs_sum,gnn,gnn_mean,terminal,25%,125,31,5,5,0.0004018220209306367,0.001172150292057759,-0.0008434585986598631,0.001978227688420209
loco_linear,mean_vs_sum,gnn,gnn_mean,terminal,50%,125,62,5,5,0.0001755632700458698,0.000286837062820869,-0.00023514849524344794,0.00039407226347154545
loco_linear,mean_vs_sum,gnn,gnn_mean,J,10%,125,12,5,5,0.0,0.0,0.0,0.0
loco_linear,mean_vs_sum,gnn,gnn_mean,J,25%,125,31,5,5,0.00021388965428517092,0.0001115176752335823,7.261845773909315e-05,0.0003689663785119146
loco_linear,mean_vs_sum,gnn,gnn_mean,J,50%,125,62,5,5,-2.815877638200348e-05,7.135823159779704e-05,-0.00012669141093901715,4.684958727130262e-05
loco_smoldering,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,97,9,5,5,-0.0008370174301995048,0.003828401999839509,-0.004696249961853027,0.003132641315460205
loco_smoldering,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,97,24,5,5,0.0,0.0,0.0,0.0
loco_smoldering,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,97,48,5,5,0.0,0.0,0.0,0.0
loco_smoldering,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,10%,97,9,5,5,0.0,1.1101870146385419e-05,-1.570041532872324e-05,1.570041532872324e-05
loco_smoldering,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,25%,97,24,5,5,-4.4408920985006264e-17,6.080941944488118e-17,-1.1102230246251565e-16,0.0
loco_smoldering,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,J,50%,97,48,5,5,0.0,0.0,0.0,0.0
loco_smoldering,mean_vs_sum,gnn,gnn_mean,terminal,10%,97,9,5,5,-0.002457076973385286,0.005827110228724601,-0.009753425916036007,0.003389808866712807
loco_smoldering,mean_vs_sum,gnn,gnn_mean,terminal,25%,97,24,5,5,0.0,0.0,0.0,0.0
loco_smoldering,mean_vs_sum,gnn,gnn_mean,terminal,50%,97,48,5,5,0.0,0.0,0.0,0.0
loco_smoldering,mean_vs_sum,gnn,gnn_mean,J,10%,97,9,5,5,6.280166131489295e-06,1.4042878380001947e-05,-1.570041532872324e-05,1.570041532872324e-05
loco_smoldering,mean_vs_sum,gnn,gnn_mean,J,25%,97,24,5,5,2.2204460492503132e-17,4.965068306494547e-17,0.0,1.1102230246251565e-16
loco_smoldering,mean_vs_sum,gnn,gnn_mean,J,50%,97,48,5,5,0.0,0.0,0.0,0.0
