protocol,model,seed,endpoint,budget,N,k,diagnostic_only,U,regret_raw,regret_display,improvement_over_random,oracle_improvement_fraction,cutoff_score,strictly_selected_count,cutoff_tied_count,selected_from_cutoff_tie
lcro_9_15,global_stats,46,J,25%,264,66,True,0.34720615213057804,0.0019173764910624391,0.0019173764910624391,0.20792853449277426,0.9908629313667678,0.36356575731188057,65,1,1
lcro_9_15,global_stats,46,J,50%,264,132,True,0.37689956981476186,0.0009795003363655685,0.0009795003363655685,0.17823511680859044,0.9945344841175912,0.45076794251799585,131,1,1
loco_iso834,fire_only,42,terminal,10%,158,15,True,0.055184611932763576,0.013052362954943497,0.013052362954943497,-6.938893903907228e-18,-5.316197479230511e-16,0.054241228848695755,0,158,15
loco_iso834,fire_only,42,terminal,25%,158,39,True,0.05518461193276358,0.009110957696061767,0.009110957696061767,-1.3877787807814457e-17,-1.5231974805253662e-15,0.054241228848695755,0,158,39
loco_iso834,fire_only,42,terminal,50%,158,79,True,0.05518461193276357,0.005399485837809644,0.005399485837809644,0.0,0.0,0.054241228848695755,0,158,79
loco_iso834,fire_only,42,J,10%,158,15,True,0.36237104545594967,0.020718103905304153,0.020718103905304153,-5.551115123125783e-17,-2.6793548041356368e-15,0.3609521858704587,0,158,15
loco_iso834,fire_only,42,J,25%,158,39,True,0.36237104545594967,0.013499814357744,0.013499814357744,-5.551115123125783e-17,-4.1119936734103886e-15,0.3609521858704587,0,158,39
loco_iso834,fire_only,42,J,50%,158,79,True,0.36237104545594967,0.008225754890119397,0.008225754890119397,-5.551115123125783e-17,-6.748456764489424e-15,0.3609521858704587,0,158,79
loco_iso834,fire_only,43,terminal,10%,158,15,True,0.055184611932763576,0.013052362954943497,0.013052362954943497,-6.938893903907228e-18,-5.316197479230511e-16,0.058482930064201355,0,158,15
loco_iso834,fire_only,43,terminal,25%,158,39,True,0.05518461193276358,0.009110957696061767,0.009110957696061767,-1.3877787807814457e-17,-1.5231974805253662e-15,0.058482930064201355,0,158,39
loco_iso834,fire_only,43,terminal,50%,158,79,True,0.05518461193276357,0.005399485837809644,0.005399485837809644,0.0,0.0,0.058482930064201355,0,158,79
loco_iso834,fire_only,43,J,10%,158,15,True,0.36237104545594967,0.020718103905304153,0.020718103905304153,-5.551115123125783e-17,-2.6793548041356368e-15,0.36136293883124987,0,158,15
loco_iso834,fire_only,43,J,25%,158,39,True,0.36237104545594967,0.013499814357744,0.013499814357744,-5.551115123125783e-17,-4.1119936734103886e-15,0.36136293883124987,0,158,39
loco_iso834,fire_only,43,J,50%,158,79,True,0.36237104545594967,0.008225754890119397,0.008225754890119397,-5.551115123125783e-17,-6.748456764489424e-15,0.36136293883124987,0,158,79
loco_iso834,fire_only,44,terminal,10%,158,15,True,0.055184611932763576,0.013052362954943497,0.013052362954943497,-6.938893903907228e-18,-5.316197479230511e-16,0.055159974843263626,0,158,15
loco_iso834,fire_only,44,terminal,25%,158,39,True,0.05518461193276358,0.009110957696061767,0.009110957696061767,-1.3877787807814457e-17,-1.5231974805253662e-15,0.055159974843263626,0,158,39
loco_iso834,fire_only,44,terminal,50%,158,79,True,0.05518461193276357,0.005399485837809644,0.005399485837809644,0.0,0.0,0.055159974843263626,0,158,79
loco_iso834,fire_only,44,J,10%,158,15,True,0.36237104545594967,0.020718103905304153,0.020718103905304153,-5.551115123125783e-17,-2.6793548041356368e-15,0.36168770942216116,0,158,15
loco_iso834,fire_only,44,J,25%,158,39,True,0.36237104545594967,0.013499814357744,0.013499814357744,-5.551115123125783e-17,-4.1119936734103886e-15,0.36168770942216116,0,158,39
