model,sample_id,seed_mean_case_MAE,MAE_percentage_points,cumulative_fraction
deepsets,b004_0065,0.00675996912063138,0.6759969120631381,0.3125
deepsets,b004_0217,0.00682587242517312,0.682587242517312,0.31875
deepsets,b005_0350,0.00683754664219788,0.683754664219788,0.325
deepsets,b005_0482,0.007069789667109939,0.7069789667109939,0.33125
deepsets,b005_0121,0.0070971539763153195,0.7097153976315319,0.3375
deepsets,b005_0025,0.0071159656296987586,0.7115965629698758,0.34375
deepsets,b004_0241,0.00713102700280358,0.713102700280358,0.35
deepsets,b004_0029,0.007147308182520901,0.7147308182520901,0.35625
deepsets,b005_0544,0.0071476023216716,0.71476023216716,0.3625
deepsets,b004_0311,0.0071493021410996395,0.7149302141099639,0.36875
deepsets,b004_0024,0.0071569167321822195,0.7156916732182219,0.375
deepsets,b004_0070,0.00718646644324548,0.7186466443245481,0.38125
deepsets,b004_0263,0.007212949580833521,0.7212949580833521,0.3875
deepsets,b005_0120,0.00723179048690636,0.723179048690636,0.39375
deepsets,b004_0140,0.0072737306844991995,0.72737306844992,0.4
deepsets,b004_0300,0.00737903835099248,0.737903835099248,0.40625
deepsets,b004_0270,0.00738871887814798,0.7388718878147981,0.4125
deepsets,b004_0197,0.0074205670200409996,0.7420567020041,0.41875
deepsets,b004_0181,0.007496878260471721,0.7496878260471721,0.425
deepsets,b005_0086,0.007551734125027821,0.755173412502782,0.43125
deepsets,b004_0185,0.00758914568873698,0.758914568873698,0.4375
deepsets,b004_0378,0.00759233607620482,0.759233607620482,0.44375
deepsets,b004_0115,0.0076051410104407,0.7605141010440699,0.45
deepsets,b005_0380,0.00769448170407868,0.7694481704078681,0.45625
deepsets,b005_0493,0.0077005426170395795,0.770054261703958,0.4625
deepsets,b004_0388,0.0077056324384251005,0.7705632438425101,0.46875
deepsets,b004_0088,0.0077418836535977,0.77418836535977,0.475
deepsets,b005_0323,0.0078073895368419004,0.78073895368419,0.48125
deepsets,b005_0627,0.0078192115807142,0.78192115807142,0.4875
deepsets,b005_0273,0.00788533386514808,0.788533386514808,0.49375
deepsets,b005_0460,0.007891077975757759,0.7891077975757759,0.5
deepsets,b004_0198,0.007973665707424001,0.7973665707424001,0.50625
deepsets,b004_0154,0.0080050503743476,0.80050503743476,0.5125
deepsets,b004_0321,0.00804477627160114,0.804477627160114,0.51875
deepsets,b005_0211,0.00804911910510452,0.804911910510452,0.525
deepsets,b004_0215,0.00807614517016486,0.8076145170164859,0.53125
deepsets,b004_0258,0.00808450036117284,0.8084500361172839,0.5375
