example,sample_id,model,seed,time_s,prediction
1,b005_0291,capacity_matched_deepsets,45,60.0,0.9967067837715149
1,b005_0291,capacity_matched_deepsets,45,120.0,0.9817559719085693
1,b005_0291,capacity_matched_deepsets,45,180.0,0.8119246959686279
1,b005_0291,capacity_matched_deepsets,45,240.0,0.7484949827194214
1,b005_0291,capacity_matched_deepsets,45,300.0,0.7413904666900635
1,b005_0291,capacity_matched_deepsets,45,360.0,0.7418080568313599
1,b005_0291,capacity_matched_deepsets,45,420.0,0.7433693408966064
1,b005_0291,capacity_matched_deepsets,45,480.0,0.743628740310669
1,b005_0291,capacity_matched_deepsets,45,540.0,0.7424798011779785
1,b005_0291,capacity_matched_deepsets,45,600.0,0.7389167547225952
1,b005_0291,capacity_matched_deepsets,45,660.0,0.7321823239326477
1,b005_0291,capacity_matched_deepsets,45,720.0,0.7197977304458618
1,b005_0291,capacity_matched_deepsets,45,780.0,0.7057905197143555
1,b005_0291,capacity_matched_deepsets,45,840.0,0.6916519403457642
1,b005_0291,capacity_matched_deepsets,45,900.0,0.6772183775901794
1,b005_0291,capacity_matched_deepsets,45,960.0,0.662506103515625
1,b005_0291,capacity_matched_deepsets,45,1020.0,0.6444140672683716
1,b005_0291,capacity_matched_deepsets,45,1080.0,0.6224991679191589
1,b005_0291,capacity_matched_deepsets,45,1140.0,0.5953782796859741
1,b005_0291,capacity_matched_deepsets,45,1200.0,0.5681343078613281
1,b005_0291,capacity_matched_deepsets,45,1260.0,0.5400387048721313
1,b005_0291,capacity_matched_deepsets,45,1320.0,0.5102201700210571
1,b005_0291,capacity_matched_deepsets,45,1380.0,0.4793458580970764
1,b005_0291,capacity_matched_deepsets,45,1440.0,0.4513109028339386
1,b005_0291,capacity_matched_deepsets,45,1500.0,0.43599143624305725
1,b005_0291,capacity_matched_deepsets,45,1560.0,0.4236850440502167
1,b005_0291,capacity_matched_deepsets,45,1620.0,0.41286322474479675
1,b005_0291,capacity_matched_deepsets,45,1680.0,0.4028698205947876
1,b005_0291,capacity_matched_deepsets,45,1740.0,0.39342817664146423
1,b005_0291,capacity_matched_deepsets,45,1800.0,0.3843842148780823
1,b005_0291,capacity_matched_deepsets,45,1860.0,0.37487342953681946
1,b005_0291,capacity_matched_deepsets,45,1920.0,0.36570829153060913
1,b005_0291,capacity_matched_deepsets,45,1980.0,0.3568587899208069
1,b005_0291,capacity_matched_deepsets,45,2040.0,0.3483598232269287
1,b005_0291,capacity_matched_deepsets,45,2100.0,0.33989420533180237
1,b005_0291,capacity_matched_deepsets,45,2160.0,0.32980236411094666
1,b005_0291,capacity_matched_deepsets,45,2220.0,0.3179859519004822
1,b005_0291,capacity_matched_deepsets,45,2280.0,0.3068072199821472
1,b005_0291,capacity_matched_deepsets,45,2340.0,0.2960946261882782
1,b005_0291,capacity_matched_deepsets,45,2400.0,0.2858352065086365
1,b005_0291,capacity_matched_deepsets,45,2460.0,0.27601510286331177
1,b005_0291,capacity_matched_deepsets,45,2520.0,0.26666224002838135
1,b005_0291,capacity_matched_deepsets,45,2580.0,0.2578884959220886
1,b005_0291,capacity_matched_deepsets,45,2640.0,0.2492855340242386
1,b005_0291,capacity_matched_deepsets,45,2700.0,0.23933124542236328
1,b005_0291,capacity_matched_deepsets,45,2760.0,0.2286447435617447
1,b005_0291,capacity_matched_deepsets,45,2820.0,0.2175513356924057
1,b005_0291,capacity_matched_deepsets,45,2880.0,0.20721575617790222
1,b005_0291,capacity_matched_deepsets,45,2940.0,0.19751498103141785
1,b005_0291,capacity_matched_deepsets,45,3000.0,0.18841303884983063
1,b005_0291,capacity_matched_deepsets,45,3060.0,0.17961563169956207
1,b005_0291,capacity_matched_deepsets,45,3120.0,0.17114688456058502
1,b005_0291,capacity_matched_deepsets,45,3180.0,0.16334086656570435
1,b005_0291,capacity_matched_deepsets,45,3240.0,0.1560923308134079
1,b005_0291,capacity_matched_deepsets,45,3300.0,0.14873279631137848
1,b005_0291,capacity_matched_deepsets,45,3360.0,0.14169751107692719
1,b005_0291,capacity_matched_deepsets,45,3420.0,0.13521572947502136
1,b005_0291,capacity_matched_deepsets,45,3480.0,0.1296955645084381
1,b005_0291,capacity_matched_deepsets,45,3540.0,0.12471392750740051
1,b005_0291,capacity_matched_deepsets,45,3600.0,0.1196148693561554
1,b005_0291,capacity_matched_deepsets,46,0.0,0.997168242931366
1,b005_0291,capacity_matched_deepsets,46,60.0,0.9967083930969238
1,b005_0291,capacity_matched_deepsets,46,120.0,0.9824382662773132
1,b005_0291,capacity_matched_deepsets,46,180.0,0.8091856241226196
1,b005_0291,capacity_matched_deepsets,46,240.0,0.7544071674346924
1,b005_0291,capacity_matched_deepsets,46,300.0,0.7474955320358276
1,b005_0291,capacity_matched_deepsets,46,360.0,0.748824417591095
