protocol,model,seed,test_geometries,threshold,reference_events,reference_censored,predicted_events,predicted_censored,true_positive,false_negative,false_positive,true_negative,recall,false_positive_rate,balanced_accuracy,both_event_count,both_event_population_fraction,both_event_reference_event_fraction,conditional_timing_MAE_s,conditional_timing_median_abs_s,conditional_timing_bias_s,optimistic_late_or_missed_count,recross_above_threshold_count,recross_fraction_all_cases,recross_fraction_predicted_event_cases
lcro_9_15,fire_only,44,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.123893805309734,60.0,-28.4070796460177,7,1,0.003787878787878788,0.004424778761061947
lcro_9_15,fire_only,44,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,96.11111111111111,60.0,96.11111111111111,192,3,0.011363636363636364,0.013888888888888888
lcro_9_15,fire_only,45,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.123893805309734,60.0,-28.4070796460177,7,2,0.007575757575757576,0.008849557522123894
lcro_9_15,fire_only,45,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,98.05555555555556,60.0,98.05555555555556,191,4,0.015151515151515152,0.018518518518518517
lcro_9_15,fire_only,46,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.123893805309734,60.0,-28.4070796460177,7,0,0.0,0.0
lcro_9_15,fire_only,46,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,95.83333333333333,60.0,95.83333333333333,190,2,0.007575757575757576,0.009259259259259259
lcro_9_15,global_stats,42,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,31.5929203539823,60.0,-24.690265486725664,13,0,0.0,0.0
lcro_9_15,global_stats,42,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,76.11111111111111,60.0,70.0,163,2,0.007575757575757576,0.009259259259259259
lcro_9_15,global_stats,43,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,34.51327433628319,60.0,-20.17699115044248,25,1,0.003787878787878788,0.004424778761061947
lcro_9_15,global_stats,43,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,41.917808219178085,60.0,24.383561643835616,85,2,0.007575757575757576,0.0091324200913242
lcro_9_15,global_stats,44,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,31.5929203539823,60.0,-26.283185840707965,10,0,0.0,0.0
lcro_9_15,global_stats,44,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,38.9041095890411,60.0,15.342465753424657,72,2,0.007575757575757576,0.0091324200913242
lcro_9_15,global_stats,45,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,30.265486725663717,30.0,-23.36283185840708,13,2,0.007575757575757576,0.008849557522123894
lcro_9_15,global_stats,45,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,70.55555555555556,60.0,63.333333333333336,153,3,0.011363636363636364,0.013888888888888888
lcro_9_15,global_stats,46,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,31.061946902654867,60.0,-25.221238938053098,11,1,0.003787878787878788,0.004424778761061947
lcro_9_15,global_stats,46,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,48.49315068493151,60.0,33.6986301369863,101,2,0.007575757575757576,0.0091324200913242
lcro_9_15,deepsets,42,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.123893805309734,60.0,-24.690265486725664,12,2,0.007575757575757576,0.008849557522123894
lcro_9_15,deepsets,42,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,62.22222222222222,60.0,58.333333333333336,150,3,0.011363636363636364,0.013888888888888888
