protocol,model,seed,test_geometries,final_MAE,final_bias,time_average_MAE,time_average_bias
loco_plateau,gnn,45,103,0.007350209141963894,0.004342592475049704,0.005045356865200691,0.002660227237528483
loco_plateau,gnn,46,103,0.008328444514315105,0.006551095130808145,0.005266640273233259,0.00313718836863064
loco_plateau,gnn_zero_edge_features,42,103,0.0069959696237612695,0.004034818755914864,0.005443404276454434,0.001717547549411024
loco_plateau,gnn_zero_edge_features,43,103,0.007782714586090115,0.002766862493550893,0.005779204353039131,0.0016396862771181245
loco_plateau,gnn_zero_edge_features,44,103,0.008207320642558117,0.006737742157092372,0.0058996994162888675,0.0036008009216883827
loco_plateau,gnn_zero_edge_features,45,103,0.008740518187868942,0.006093269756552085,0.006608461437921692,0.004828769795620713
loco_plateau,gnn_zero_edge_features,46,103,0.006975704333880573,0.0010246372808819836,0.005670997636651914,0.0017400393536778488
loco_plateau,gnn_mean,42,103,0.00636816328590356,0.0019916000152097164,0.005079625762583125,0.002031001556381388
loco_plateau,gnn_mean,43,103,0.007890090219748831,0.006031925618214515,0.005280826581660116,0.0024210811429883103
loco_plateau,gnn_mean,44,103,0.0066959870056909265,0.0050753043078392455,0.005412681783552503,0.0027019563501755003
loco_plateau,gnn_mean,45,103,0.005618260540429828,0.0015450834649280436,0.00479010353151191,0.0011641121166532183
loco_plateau,gnn_mean,46,103,0.007141055575418241,0.004081548942090238,0.0048485268609640576,0.002158478576038934
loco_decay,fire_only,42,113,0.018471698054170187,-0.011542450537723778,0.009766500814650282,-0.00141922012301147
loco_decay,fire_only,43,113,0.020754659861589954,-0.0028252882503830225,0.008975988893514187,-0.00017843876792266404
loco_decay,fire_only,44,113,0.02119555581459957,-0.014633713306578915,0.01006037522557914,-0.004000618249441659
loco_decay,fire_only,45,113,0.014985604162237286,-3.545164270738585e-05,0.009374935648632083,-8.733732609361181e-05
loco_decay,fire_only,46,113,0.02050012330302095,0.002694160339579118,0.009664687159908024,0.0008053054637481589
loco_decay,global_stats,42,113,0.021603314420290752,-0.007345584311843973,0.007978289077129863,-0.003029336223713942
