protocol,model,endpoint,budget,N,k,actual_budget_fraction,independent_seed_count,U_defined_seeds,U_mean,U_sample_sd,U_min,U_max,regret_raw_defined_seeds,regret_raw_mean,regret_raw_sample_sd,regret_raw_min,regret_raw_max,regret_display_defined_seeds,regret_display_mean,regret_display_sample_sd,regret_display_min,regret_display_max,improvement_over_random_defined_seeds,improvement_over_random_mean,improvement_over_random_sample_sd,improvement_over_random_min,improvement_over_random_max,oracle_improvement_fraction_defined_seeds,oracle_improvement_fraction_mean,oracle_improvement_fraction_sample_sd,oracle_improvement_fraction_min,oracle_improvement_fraction_max
iid997,gnn_zero_edge_features,terminal,10%,160,16,0.1,5,5,0.03873539908090606,0.00032943823245377925,0.03824124188395217,0.03916517022298649,5,0.0024638669565320015,0.00032943823245377925,0.001969709759578109,0.0028936380986124277,5,0.0024638669565320015,0.00032943823245377925,0.001969709759578109,0.0028936380986124277,5,0.211744337429991,0.00032943823245377925,0.21131456628791057,0.21223849462694488,5,0.9884977937068827,0.0015379347088841473,0.9864914693305067,0.9908046950618945
iid997,gnn_zero_edge_features,terminal,25%,160,40,0.25,5,5,0.04700734535697848,0.000140294951357404,0.04678570621181279,0.04717241509351879,5,0.0010248230956494768,0.000140294951357404,0.0008031839504837948,0.0011898928321897942,5,0.0010248230956494768,0.000140294951357404,0.0008031839504837948,0.0011898928321897942,5,0.2034723911539186,0.0001402949513574047,0.20330732141737826,0.20369403029908426,5,0.9949885718521388,0.0006860482274647845,0.9941813738805377,0.9960723966170825
iid997,gnn_zero_edge_features,terminal,50%,160,80,0.5,5,5,0.057864382781554015,0.0001591570469829582,0.05775057087885216,0.05808079113485291,5,0.00011381190270185471,0.0001591570469829582,0.0,0.00033022025600075444,5,0.00011381190270185471,0.0001591570469829582,0.0,0.00033022025600075444,5,0.19261535372934305,0.00015915704698296021,0.19239894537604413,0.1927291656320449,5,0.9994094723425558,0.000825806755614868,0.9982866098396793,1.0
iid997,gnn_zero_edge_features,J,10%,160,16,0.1,5,5,0.33404173186158004,0.0006858923160351363,0.33329936580375946,0.33493254123325944,5,0.003471588653434665,0.0006858923160351363,0.002729222595614089,0.004362398025114067,5,0.003471588653434665,0.0006858923160351363,0.002729222595614089,0.004362398025114067,5,0.17635334717127993,0.0006858923160351363,0.17546253779960053,0.1770957132291005,5,0.9806946203677859,0.0038142224986178106,0.9757408614933897,0.984822891313169
iid997,gnn_zero_edge_features,J,25%,160,40,0.25,5,5,0.3466581313988524,0.00041288575448006115,0.3462185783960255,0.3471194455676111,5,0.0009664946744839309,0.00041288575448006115,0.0005269416716570663,0.0014278088432426728,5,0.0009664946744839309,0.00041288575448006115,0.0005269416716570663,0.0014278088432426728,5,0.16373694763400762,0.00041288575448006115,0.16327563346524887,0.16417650063683448,5,0.9941319096860546,0.002506843504258527,0.9913310321676922,0.9968006638824822
iid997,gnn_zero_edge_features,J,50%,160,80,0.5,5,5,0.3585108271623661,0.0,0.3585108271623661,0.3585108271623661,5,0.0003382342463980059,0.0,0.0003382342463980059,0.0003382342463980059,5,0.0003382342463980059,0.0,0.0003382342463980059,0.0003382342463980059,5,0.15188425187049387,0.0,0.15188425187049387,0.15188425187049387,5,0.99777802705089,0.0,0.99777802705089,0.99777802705089
iid997,gnn_mean,terminal,10%,160,16,0.1,5,5,0.03843783974880353,0.00033297287047851014,0.03803264332236722,0.03890973684610799,5,0.0021663076244294644,0.00033297287047851014,0.0017611111979931593,0.0026382047217339277,5,0.0021663076244294644,0.00033297287047851014,0.0017611111979931593,0.0026382047217339277,5,0.21204189676209353,0.00033297287047851014,0.21156999966478907,0.21244709318852983,5,0.9898869063832845,0.0015544356549373217,0.9876839230818,0.9917785072563544
iid997,gnn_mean,terminal,25%,160,40,0.25,5,5,0.046708115902729344,0.000142038081888525,0.04649251496884972,0.04686016405466944,5,0.000725593641400335,0.000142038081888525,0.0005099927075207233,0.0008776417933404404,5,0.000725593641400335,0.000142038081888525,0.0005099927075207233,0.0008776417933404404,5,0.20377162060816775,0.00014203808188853148,0.2036195724562276,0.20398722154204735,5,0.99645181649998,0.0006945722092584878,0.9957082946261098,0.9975061141571429
iid997,gnn_mean,terminal,50%,160,80,0.5,5,5,0.05785029514925555,0.00013675368095316347,0.05775057087885216,0.05801035297336057,5,9.972427040338544e-05,0.00013675368095316347,0.0,0.0002597820945084081,5,9.972427040338544e-05,0.00013675368095316347,0.0,0.0002597820945084081,5,0.19262944136164153,0.00013675368095316195,0.19246938353753648,0.1927291656320449,5,0.9994825678299579,0.0007095640169700862,0.9986520872766896,1.0
iid997,gnn_mean,J,10%,160,16,0.1,5,5,0.3333120731387801,0.0009389686501627411,0.3325353453916856,0.3347452698674412,5,0.0027419299306347678,0.000938968650162741,0.001965202183540238,0.004175126659295814,5,0.0027419299306347678,0.000938968650162741,0.001965202183540238,0.004175126659295814,5,0.17708300589407983,0.000938968650162741,0.17564980916541878,0.17785973364117436,5,0.9847522262801892,0.005221570889801445,0.9767822708227432,0.9890715813436696
