protocol,contrast,baseline,candidate,endpoint,budget,N,k,seed,U_baseline_minus_candidate
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,25%,95,23,42,3.89937878308988e-06
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,25%,95,23,43,0.0011364869719399096
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,25%,95,23,44,0.001231076622354832
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,25%,95,23,45,0.0008313074465031711
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,25%,95,23,46,-0.0007422236077810895
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,50%,95,47,42,-0.0004382302614707734
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,50%,95,47,43,-0.00026559217813160174
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,50%,95,47,44,3.976429422908323e-05
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,50%,95,47,45,0.00016196971455362252
loco_astm_e119,mean_vs_sum,gnn,gnn_mean,J,50%,95,47,46,-0.00011112650473277252
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,111,11,42,0.0020083063705401
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,111,11,43,0.0015291409059004363
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,111,11,44,0.001109334894201973
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,111,11,45,-0.0008462118831547849
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,10%,111,11,46,-0.0014462809671055218
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,111,27,42,0.0010718218982219696
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,111,27,43,0.0005899310387946985
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,111,27,44,0.0008299316245096722
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,111,27,45,-0.0007825030220879464
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,25%,111,27,46,0.0009357311107494187
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,111,55,42,7.679475979371214e-05
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,111,55,43,-0.0004918139089237564
loco_perturbed_iso,graph_vs_capacity_matched,capacity_matched_deepsets,gnn,terminal,50%,111,55,44,0.0003018798475915782
